6236,6236: MELD/PELD 36
6237,6237: MELD/PELD 37
6238,6238: MELD/PELD 38
6239,6239: MELD/PELD 39
6240,6240: MELD/PELD 40
6241,6241: MELD/PELD 41
6242,6242: MELD/PELD 42
6243,6243: MELD/PELD 43
6244,6244: MELD/PELD 44
6245,6245: MELD/PELD 45
6246,6246: MELD/PELD 46
6247,6247: MELD/PELD 47
6248,6248: MELD/PELD 48
6249,6249: MELD/PELD 49
6250,6250: MELD/PELD 50
6251,6251: MELD/PELD 51
6252,6252: MELD/PELD 52
6253,6253: MELD/PELD 53
6254,6254: MELD/PELD 54
6255,6255: MELD/PELD 55
6256,6256: MELD/PELD 56
6257,6257: MELD/PELD 57
6258,6258: MELD/PELD 58
6259,6259: MELD/PELD 59
6260,6260: MELD/PELD 60
6261,6261: MELD/PELD 61
6262,6262: MELD/PELD 62
6263,6263: MELD/PELD 63
6264,6264: MELD/PELD 64
6265,6265: MELD/PELD 65
6266,6266: MELD/PELD 66
6267,6267: MELD/PELD 67
6268,6268: MELD/PELD 68
6269,6269: MELD/PELD 69
6270,6270: MELD/PELD 70
6271,6271: MELD/PELD 71
6272,6272: MELD/PELD 72
6273,6273: MELD/PELD 73
6274,6274: MELD/PELD 74
6275,6275: MELD/PELD 75
6276,6276: MELD/PELD 76
6277,6277: MELD/PELD 77
6278,6278: MELD/PELD 78
6279,6279: MELD/PELD 79
6280,6280: MELD/PELD 80
6281,6281: MELD/PELD 81
6282,6282: MELD/PELD 82
6283,6283: MELD/PELD 83
6284,6284: MELD/PELD 84
6285,6285: MELD/PELD 85
6286,6286: MELD/PELD 86
6287,6287: MELD/PELD 87
6288,6288: MELD/PELD 88
6289,6289: MELD/PELD 89
6290,6290: MELD/PELD 90
6291,6291: MELD/PELD 91
6292,6292: MELD/PELD 92
6293,6293: MELD/PELD 93
6294,6294: MELD/PELD 94
6295,6295: MELD/PELD 95
6296,6296: MELD/PELD 96
6297,6297: MELD/PELD 97
6298,6298: MELD/PELD 98
6299,6299: MELD/PELD 99
6999,6999: Temporarily Inactive
7010,7010: Active
7999,7999: Temporarily Inactive
8010,8010: Active
8099,8099: Temporarily Inactive
8999,8999: Temporarily Inactive
9010,9010: Status 1
9020,9020: Status 2
9030,9030: Active
9099,9099: Temporarily Inactive
9999,9999: Temporarily Inactive
