214,214: SWITZERLAND
215,215: SYRIAN ARAB REPUBLIC
216,216: TAIWAN
217,217: TAJIKISTAN
218,218: TANZANIA:UNTIED REPUBLIC of
219,219: THAILAND
220,220: TOGO
221,221: TOKELAU
222,222: TONGA
223,223: TRINIDAD and TOBAGO
224,224: TUNISIA
225,225: TURKEY
226,226: TURKMENISTAN
227,227: TURKS and CAICOS ISLAND
228,228: TUVALU
229,229: UGANDA
230,230: UKRAINE
231,231: UNITED ARAB EMIRATES
232,232: UNITED KINGDOM
234,234: URUGUAY
235,235: USA MINOR OUTLYING ISLANDS
236,236: UZBEKISTAN
237,237: VANUATA
238,238: VATICAN CITY
239,239: VENEZUELA
240,240: VIETNAM
241,241: VIRGIN ISLANDS of the USA
242,242: YEMEN:REPUBLIC of
243,243: ZAMBIA
244,244: ZIMBABWE
998,998: UNKNOWN
