1,1: NONE
2,2: GRADE SCHOOL (0-8)
3,3: HIGH SCHOOL (9-12) or GED
4,4: ATTENDED COLLEGE/TECHNICAL SCHOOL
5,5: ASSOCIATE/BACHELOR DEGREE
6,6: POST-COLLEGE GRADUATE DEGREE
996,996: N/A (< 5 YRS OLD)
998,998: UNKNOWN
